,id,title,abstract,keyphrases,prmu,true,preds
0,761,Towards a NMR implementation of a quantum lattice gas algorithm,"recent theoretical results suggest that an array of quantum information processors communicating via classical channels can be used to solve fluid dynamics problems. quantum lattice-gas algorithms (qlga) running on such architectures have been shown to solve the diffusion equation and the nonlinear burgers equations. in this report, we describe progress towards an ensemble nuclear magnetic resonance (nmr) implementation of a qlga that solves the diffusion equation. the methods rely on nmr techniques to encode an initial mass density into an ensemble of two-qubit quantum information processors. using standard pulse techniques, the mass density can then manipulated and evolved through the steps of the algorithm. we provide the experimental results of our first attempt to realize the nmr implementation. the results qualitatively follow the ideal simulation, but the observed implementation errors highlight the need for improved control","['nmr implementation', 'quantum lattice gas algorithm', 'quantum information processors', 'fluid dynamics problems', 'diffusion equation', 'nonlinear burgers equations', 'nuclear magnetic resonance', 'two-qubit quantum information.processors']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'M']","['nmr implementation', 'quantum lattice gas algorithm', 'quantum information processor', 'fluid dynamic problem', 'diffusion equation', 'nonlinear burger equation', 'nuclear magnetic resonance', 'two - qubit quantum information.processor']","['qubit quantum information processor', 'quantum information processor communicate', 'quantum lattice', 'ensemble nuclear magnetic resonance', 'nmr implementation', 'nmr technique', 'nmr', 'fluid dynamic', 'gas algorithm', 'initial mass density']"
1,724,Banking on SMA funds [separately managed accounts],"from investment management to technology to back-office services, outsourcers are elbowing their way into the sma business. small banks are paying attention-and hoping to reap the rewards","['separately managed accounts', 'investment management', 'technology', 'back-office services', 'outsourcers', 'small banks']","['P', 'P', 'P', 'P', 'P', 'P']","['separately manage account', 'investment management', 'technology', 'back - office service', 'outsourcer', 'small bank']","['sma business', 'small bank', 'outsourcer', 'office service', 'investment management', 'pay attention', 'technology', 'reap', 'elbow', 'way']"
2,1371,Design methodology for diagnostic strategies for industrial systems,"this paper presents a method for the construction of diagnostic systems for complex industrial applications. the approach has been explicitely developed to shorten the design cycle and meet some specific requirements, such as modularity, flexibility, and the possibility of merging many different sources of information. the method allows one to consider multiple simultaneous failures and is specifically designed to make easier the coordination and simplification of local diagnostic algorithms developed by different teams","['design methodology', 'diagnostic strategies', 'industrial systems', 'modularity', 'local diagnostic algorithms']","['P', 'P', 'P', 'P', 'P']","['design methodology', 'diagnostic strategy', 'industrial system', 'modularity', 'local diagnostic algorithm']","['local diagnostic algorithm develop', 'diagnostic system', 'consider multiple simultaneous failure', 'complex industrial application', 'design cycle', 'merge many', 'modularity', 'coordination', 'construction', 'specific requirement']"
3,1334,A shy invariant of graphs,"moving from a well known result of p.l. hammer et al. (1982), we introduce a new graph invariant, say lambda (g) referring to any graph g. it is a non-negative integer which is non-zero whenever g contains particular induced odd cycles or, equivalently, admits a particular minimum clique-partition. we show that).(g) can be efficiently evaluated and that its determination allows one to reduce the hard problem of computing a minimum clique-cover of a graph to an identical problem of smaller size and special structure. furthermore, one has alpha (g) <or= theta (g) - lambda (g), where alpha (g) and theta (g) respectively denote the cardinality of a maximum stable set of g and of a minimum clique-partition of g","['graph invariant', 'induced odd cycles', 'minimum clique-partition', 'minimum clique-cover', 'cardinality', 'maximum stable set']","['P', 'P', 'P', 'P', 'P', 'P']","['graph invariant', 'induce odd cycle', 'minimum clique - partition', 'minimum clique - cover', 'cardinality', 'maximum stable set']","['particular minimum clique', 'minimum clique', 'new graph invariant', 'contain particular induce odd cycle', 'maximum stable set', 'graph', 'special structure', 'small size', 'cardinality', 'negative integer']"
4,1419,PacketVideo. One step ahead of the streaming wireless market,"go beyond the hype, however, and it's clear that packetvideo is making strides in delivering streaming multimedia content to wireless devices. for one thing, its technology, based on the industry-standard motion pictures expert group 4 (mpeg-4) video encoder/decoder, actually works as promised. secondly, the company has forged a broad-based band of alliances that not only will eventually help it reach potential customers down the road, but provides it financial support until the company can ramp up sales. the list of packetvideo's technology partners who are also investors-and who have pumped more than $121 million into the company-includes not just wireless device manufacturers, but content providers and semiconductor vendors, all of whom stand to benefit by increased sales of handheld wireless terminals","['packetvideo', 'wireless devices', 'mpeg-4', 'wireless device manufacturers', 'content providers', 'semiconductor vendors', 'handheld wireless terminals', 'multimedia content streaming']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'R']","['packetvideo', 'wireless device', 'mpeg-4', 'wireless device manufacturer', 'content provider', 'semiconductor vendor', 'handheld wireless terminal', 'multimedia content stream']","['deliver stream multimedia content', 'wireless device manufacturer', 'technology partner', 'standard motion picture expert group', 'packetvideo', 'wireless device', 'content provider', 'video encoder', 'semiconductor vendor', 'financial support']"
5,1070,Universal simulation of Hamiltonian dynamics for quantum systems with finite-dimensional state spaces,"what interactions are sufficient to simulate arbitrary quantum dynamics in a composite quantum system? dodd et al. [phys. rev. a 65, 040301(r) (2002)] provided a partial solution to this problem in the form of an efficient algorithm to simulate any desired two-body hamiltonian evolution using any fixed two-body entangling n-qubit hamiltonian, and local unitaries. we extend this result to the case where the component systems are qudits, that is, have d dimensions. as a consequence we explain how universal quantum computation can be performed with any fixed two-body entangling n-qudit hamiltonian, and local unitaries","['universal simulation', 'hamiltonian dynamics', 'quantum systems', 'quantum dynamics', 'composite quantum system', 'two-body hamiltonian evolution', 'fixed two-body entangling n-qubit hamiltonian', 'local unitaries', 'universal quantum computation', 'fixed two-body entangling n-qudit hamiltonian', 'finite- dimensional state spaces', 'd-dimensional component systems']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M']","['universal simulation', 'hamiltonian dynamic', 'quantum system', 'quantum dynamic', 'composite quantum system', 'two - body hamiltonian evolution', 'fix two - body entangle n - qubit hamiltonian', 'local unitarie', 'universal quantum computation', 'fix two - body entangle n - qudit hamiltonian', 'finite- dimensional state space', 'd - dimensional component system']","['simulate arbitrary quantum dynamic', 'universal quantum computation', 'qubit hamiltonian', 'composite quantum system', 'qudit hamiltonian', 'body hamiltonian evolution', 'body entangle', 'component system', 'qudit', 'simulate']"
6,1035,H/sub 2/ optimization of the three-element type dynamic vibration absorbers,"the dynamic vibration absorber (dva) is a passive vibration control device which is attached to a vibrating body (called a primary system) subjected to exciting force or motion. in this paper, we will discuss an optimization problem of the three-element type dva on the basis of the h/sub 2/ optimization criterion. the objective of the h/sub 2/ optimization is to reduce the total vibration energy of the system for overall frequencies; the total area under the power spectrum response curve is minimized in this criterion. if the system is subjected to random excitation instead of sinusoidal excitation, then the h/sub 2/ optimization is probably more desirable than the popular h/sub infinity / optimization. in the past decade there has been increasing interest in the three-element type dva. however, most previous studies on this type of dva were based on the h/sub infinity / optimization design, and no one has been able to find the algebraic solution as of yet. we found a closed-form exact solution for a special case where the primary system has no damping. furthermore, the general case solution including the damped primary system is presented in the form of a numerical solution. the optimum parameters obtained here are compared to those of the conventional voigt type dva. they are also compared to other optimum parameters based on the h/sub infinity / criterion","['h/sub 2/ optimization', 'three-element type dynamic vibration absorbers', 'passive vibration control', 'power spectrum response', 'voigt type dynamic vibration absorber']","['P', 'P', 'P', 'P', 'R']","['h / sub 2/ optimization', 'three - element type dynamic vibration absorber', 'passive vibration control', 'power spectrum response', 'voigt type dynamic vibration absorber']","['dynamic vibration absorber', 'total vibration energy', 'passive vibration control', 'optimization design', 'optimum parameter obtain', 'optimization criterion', 'vibrate body', 'optimum parameter', 'damp', 'optimization problem']"
7,1128,The semi-algebraic theory of stochastic games,"the asymptotic behavior of the min-max value of a finite-state zero-sum discounted stochastic game, as the discount rate approaches 0, has been studied in the past using the theory of real-closed fields. we use the theory of semi-algebraic sets and mappings to prove some asymptotic properties of the min-max value, which hold uniformly for all stochastic games in which the number of states and players' actions are predetermined to some fixed values. as a corollary, we prove a uniform polynomial convergence rate of the value of the n-stage game to the value of the nondiscount game, over a bounded set of payoffs","['asymptotic behavior', 'min-max value', 'finite-state zero-sum discounted stochastic game', 'discount rate', 'uniform polynomial convergence rate', 'n-stage game', 'semi-algebraic set theory', 'two-player zero-sum finite-state stochastic games']","['P', 'P', 'P', 'P', 'P', 'P', 'R', 'M']","['asymptotic behavior', 'min - max value', 'finite - state zero - sum discount stochastic game', 'discount rate', 'uniform polynomial convergence rate', 'n - stage game', 'semi - algebraic set theory', 'two - player zero - sum finite - state stochastic game']","['sum discount stochastic game', 'discount rate approach', 'stochastic game', 'uniform polynomial convergence rate', 'nondiscount game', 'algebraic set', 'asymptotic property', 'max value', 'asymptotic behavior', 'close field']"
8,538,Polarization of the RF field in a human head at high field: a study with a quadrature surface coil at 7.0 T,"the rf field intensity distribution in the human brain becomes inhomogeneous due to wave behavior at high field. this is further complicated by the spatial distribution of rf field polarization that must be considered to predict image intensity distribution. an additional layer of complexity is involved when a quadrature coil is used for transmission and reception. to study such complicated rf field behavior, a computer modeling method was employed to investigate the rf field of a quadrature surface coil at 300 mhz. theoretical and experimental results for a phantom and the human head at 7.0 t are presented. the results are theoretically important and practically useful for high-field quadrature coil design and application","['quadrature surface coil', '7.0 t', 'rf field intensity distribution', 'human brain', 'spatial distribution', 'rf field polarization', 'image intensity distribution', 'computer modeling', '300 mhz', 'high field mri', 'high-field coil design', 'whole-body mri', 'phantom samples', 'segmented images', '3d multitissue head model', 'gradient echo images', 'finite difference time domain method', 'maxwell wave equations', 'reception fields', 'transmission fields']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'R', 'U', 'M', 'M', 'M', 'M', 'M', 'M', 'R', 'R']","['quadrature surface coil', '7.0 t', 'rf field intensity distribution', 'human brain', 'spatial distribution', 'rf field polarization', 'image intensity distribution', 'computer modeling', '300 mhz', 'high field mri', 'high - field coil design', 'whole - body mri', 'phantom sample', 'segment image', '3d multitissue head model', 'gradient echo image', 'finite difference time domain method', 'maxwell wave equation', 'reception field', 'transmission field']","['rf field intensity distribution', 'field quadrature coil design', 'rf field polarization', 'quadrature surface coil', 'complicate rf field', 'quadrature coil', 'rf field', 'image intensity distribution', 'mhz', 'high field']"
9,681,Construction of information retrieval thesaurus for family planning terms using CDS/ISIS,"the thesaurus as a tool for information retrieval and as an alternative to the existing scheme of classifications in information retrieval is discussed. the paper considers the emergence of the information retrieval thesaurus and its definition. family planning is a multidisciplinary subject covering socio economic, cultural, psychological and medical fields. this necessitated the construction of a thesaurus for the family planning discipline. the construction is based on unisist, iso 2788 and bs 5723 guidelines by using cds/isis software","['information retrieval', 'thesaurus', 'family planning terms', 'family planning', 'classification', 'culture', 'psychology', 'unisist', 'iso 2788', 'bs 5723', 'cds/isis software', 'bibliographic databases', 'socio economic field', 'medicine']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'U', 'R', 'U']","['information retrieval', 'thesaurus', 'family planning term', 'family planning', 'classification', 'culture', 'psychology', 'unisist', 'iso 2788', 'bs 5723', 'cd / isis software', 'bibliographic database', 'socio economic field', 'medicine']","['information retrieval thesaurus', 'multidisciplinary subject cover socio economic', 'family planning discipline', 'thesaurus', 'information retrieval', 'family planning', 'use cd', 'classification', 'medical field', 'paper consider']"
