,id,title,abstract,keyphrases,prmu,true,preds,scores
0,761,Towards a NMR implementation of a quantum lattice gas algorithm,"recent theoretical results suggest that an array of quantum information processors communicating via classical channels can be used to solve fluid dynamics problems. quantum lattice-gas algorithms (qlga) running on such architectures have been shown to solve the diffusion equation and the nonlinear burgers equations. in this report, we describe progress towards an ensemble nuclear magnetic resonance (nmr) implementation of a qlga that solves the diffusion equation. the methods rely on nmr techniques to encode an initial mass density into an ensemble of two-qubit quantum information processors. using standard pulse techniques, the mass density can then manipulated and evolved through the steps of the algorithm. we provide the experimental results of our first attempt to realize the nmr implementation. the results qualitatively follow the ideal simulation, but the observed implementation errors highlight the need for improved control","['nmr implementation', 'quantum lattice gas algorithm', 'quantum information processors', 'fluid dynamics problems', 'diffusion equation', 'nonlinear burgers equations', 'nuclear magnetic resonance', 'two-qubit quantum information.processors']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'M']","['nmr implementation', 'quantum lattice gas algorithm', 'quantum information processor', 'fluid dynamic problem', 'diffusion equation', 'nonlinear burger equation', 'nuclear magnetic resonance', 'two - qubit quantum information.processor']","['qubit quantum information processor', 'quantum information processor communicate', 'quantum lattice', 'ensemble nuclear magnetic resonance', 'nmr implementation', 'nmr technique', 'nmr', 'fluid dynamic', 'gas algorithm', 'initial mass density', 'nonlinear burger equation', 'mass density', 'diffusion', 'pulse technique', 'observe implementation', 'simulation', 'classical channel', 'ensemble', 'implementation', 'architecture']","[{'qubit quantum information processors': 0.9763, 'quantum information processors communicating': 0.696, 'quantum lattice': 0.5874, 'ensemble nuclear magnetic resonance': 0.5487, 'nmr implementation': 0.4827, 'nmr techniques': 0.392, 'nmr': 0.3305, 'fluid dynamics': 0.3205, 'gas algorithms': 0.3114, 'initial mass density': 0.30519999999999997, 'nonlinear burgers equations': 0.2527, 'mass density': 0.21869999999999998, 'diffusion': 0.2144, 'pulse techniques': 0.2116, 'observed implementation': 0.1985, 'simulation': 0.187, 'classical channels': 0.1857, 'ensemble': 0.1732, 'implementation': 0.1522, 'architectures': 0.142, 'qlga': 0.1381, 'algorithm': 0.1349, 'steps': 0.1305, 'encode': 0.1301, 'recent theoretical': 0.10800000000000001, 'describe progress': 0.0794, 'array': 0.0745, 'follow': 0.0654, 'first': 0.061, 'running': 0.0533, 'solves': 0.0452, 'evolved': 0.0168, 'methods': 0.0126, 'shown': 0.0099, 'manipulated': 0.0071, 'experimental': 0.0067}]"
1,724,Banking on SMA funds [separately managed accounts],"from investment management to technology to back-office services, outsourcers are elbowing their way into the sma business. small banks are paying attention-and hoping to reap the rewards","['separately managed accounts', 'investment management', 'technology', 'back-office services', 'outsourcers', 'small banks']","['P', 'P', 'P', 'P', 'P', 'P']","['separately manage account', 'investment management', 'technology', 'back - office service', 'outsourcer', 'small bank']","['sma business', 'small bank', 'outsourcer', 'office service', 'investment management', 'pay attention', 'technology', 'reap', 'elbow', 'way', 'hope', 'back']","[{'sma business': 0.8077000000000001, 'small banks': 0.6234999999999999, 'outsourcers': 0.5958, 'office services': 0.5001, 'investment management': 0.4421, 'paying attention': 0.32030000000000003, 'technology': 0.2288, 'reap': 0.1002, 'elbowing': 0.0962, 'way': 0.0715, 'hoping': 0.0576, 'back': 0.0537}]"
2,1371,Design methodology for diagnostic strategies for industrial systems,"this paper presents a method for the construction of diagnostic systems for complex industrial applications. the approach has been explicitely developed to shorten the design cycle and meet some specific requirements, such as modularity, flexibility, and the possibility of merging many different sources of information. the method allows one to consider multiple simultaneous failures and is specifically designed to make easier the coordination and simplification of local diagnostic algorithms developed by different teams","['design methodology', 'diagnostic strategies', 'industrial systems', 'modularity', 'local diagnostic algorithms']","['P', 'P', 'P', 'P', 'P']","['design methodology', 'diagnostic strategy', 'industrial system', 'modularity', 'local diagnostic algorithm']","['local diagnostic algorithm develop', 'diagnostic system', 'consider multiple simultaneous failure', 'complex industrial application', 'design cycle', 'merge many', 'modularity', 'coordination', 'construction', 'specific requirement', 'method', 'approach', 'develop', 'design', 'meet', 'flexibility', 'possibility', 'make easy', 'information', 'simplification']","[{'local diagnostic algorithms developed': 1.0150000000000001, 'diagnostic systems': 0.8465, 'consider multiple simultaneous failures': 0.7917000000000001, 'complex industrial applications': 0.579, 'design cycle': 0.3027, 'merging many': 0.2937, 'modularity': 0.2796, 'coordination': 0.238, 'construction': 0.188, 'specific requirements': 0.18439999999999998, 'method': 0.1673, 'approach': 0.137, 'developed': 0.0904, 'designed': 0.086, 'meet': 0.0845, 'flexibility': 0.0822, 'possibility': 0.0619, 'make easier': 0.0597, 'information': 0.0537, 'simplification': 0.0445, 'paper': 0.0406, 'shorten': 0.0371, 'such': 0.0069}]"
3,1334,A shy invariant of graphs,"moving from a well known result of p.l. hammer et al. (1982), we introduce a new graph invariant, say lambda (g) referring to any graph g. it is a non-negative integer which is non-zero whenever g contains particular induced odd cycles or, equivalently, admits a particular minimum clique-partition. we show that).(g) can be efficiently evaluated and that its determination allows one to reduce the hard problem of computing a minimum clique-cover of a graph to an identical problem of smaller size and special structure. furthermore, one has alpha (g) <or= theta (g) - lambda (g), where alpha (g) and theta (g) respectively denote the cardinality of a maximum stable set of g and of a minimum clique-partition of g","['graph invariant', 'induced odd cycles', 'minimum clique-partition', 'minimum clique-cover', 'cardinality', 'maximum stable set']","['P', 'P', 'P', 'P', 'P', 'P']","['graph invariant', 'induce odd cycle', 'minimum clique - partition', 'minimum clique - cover', 'cardinality', 'maximum stable set']","['particular minimum clique', 'minimum clique', 'new graph invariant', 'contain particular induce odd cycle', 'maximum stable set', 'graph', 'special structure', 'small size', 'cardinality', 'negative integer', 'hard problem', 'partition', 'lambda', 'identical problem', 'cover', 'compute', 'reduce', 'determination allow', 'have alpha', 'et al']","[{'particular minimum clique': 0.8563000000000001, 'minimum clique': 0.7662, 'new graph invariant': 0.7426999999999999, 'contains particular induced odd cycles': 0.6798, 'maximum stable set': 0.3718, 'graph': 0.3491, 'special structure': 0.1983, 'smaller size': 0.19820000000000002, 'cardinality': 0.1948, 'negative integer': 0.1865, 'hard problem': 0.1822, 'partition': 0.1734, 'lambda': 0.1565, 'identical problem': 0.14500000000000002, 'cover': 0.1335, 'computing': 0.0935, 'reduce': 0.0854, 'determination allows': 0.0761, 'has alpha': 0.0737, 'et al': 0.0726, 'denote': 0.0662, 'moving': 0.0632, 'show': 0.0623, 'alpha': 0.0596, 'non': 0.0523, 'evaluated': 0.0292, 'known result': 0.0262, 'admits': 0.0217}]"
4,1419,PacketVideo. One step ahead of the streaming wireless market,"go beyond the hype, however, and it's clear that packetvideo is making strides in delivering streaming multimedia content to wireless devices. for one thing, its technology, based on the industry-standard motion pictures expert group 4 (mpeg-4) video encoder/decoder, actually works as promised. secondly, the company has forged a broad-based band of alliances that not only will eventually help it reach potential customers down the road, but provides it financial support until the company can ramp up sales. the list of packetvideo's technology partners who are also investors-and who have pumped more than $121 million into the company-includes not just wireless device manufacturers, but content providers and semiconductor vendors, all of whom stand to benefit by increased sales of handheld wireless terminals","['packetvideo', 'wireless devices', 'mpeg-4', 'wireless device manufacturers', 'content providers', 'semiconductor vendors', 'handheld wireless terminals', 'multimedia content streaming']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'R']","['packetvideo', 'wireless device', 'mpeg-4', 'wireless device manufacturer', 'content provider', 'semiconductor vendor', 'handheld wireless terminal', 'multimedia content stream']","['deliver stream multimedia content', 'wireless device manufacturer', 'technology partner', 'standard motion picture expert group', 'packetvideo', 'wireless device', 'content provider', 'video encoder', 'semiconductor vendor', 'financial support', 'reach potential customer', 'investor', 'industry', 'company', 'pump more', 'increase sale', 'alliance', 'technology', 'base band', 'provide']","[{'delivering streaming multimedia content': 1.1278, 'wireless device manufacturers': 0.8545, 'technology partners': 0.6133, 'standard motion pictures expert group': 0.6125, 'packetvideo': 0.6122, 'wireless devices': 0.5376, 'content providers': 0.536, 'video encoder': 0.4548, 'semiconductor vendors': 0.41859999999999997, 'financial support': 0.41669999999999996, 'reach potential customers': 0.3965, 'investors': 0.3412, 'industry': 0.2942, 'company': 0.2903, 'pumped more': 0.2862, 'increased sales': 0.2725, 'alliances': 0.2709, 'technology': 0.2682, 'based band': 0.261, 'provides': 0.2204, 'making strides': 0.2041, 'decoder': 0.1972, 'hype': 0.1865, 'benefit': 0.1806, 'sales': 0.1781, 'based': 0.1595, 'promised': 0.1198, 'includes': 0.1111, 'forged': 0.08, 'go': 0.0707, 'list': 0.0707, 'thing': 0.0666, 'road': 0.0588, 'works': 0.0528, 'clear': 0.0474, 'stand': 0.017, 'help': 0.0076, 'ramp': 0.0015}]"
5,1070,Universal simulation of Hamiltonian dynamics for quantum systems with finite-dimensional state spaces,"what interactions are sufficient to simulate arbitrary quantum dynamics in a composite quantum system? dodd et al. [phys. rev. a 65, 040301(r) (2002)] provided a partial solution to this problem in the form of an efficient algorithm to simulate any desired two-body hamiltonian evolution using any fixed two-body entangling n-qubit hamiltonian, and local unitaries. we extend this result to the case where the component systems are qudits, that is, have d dimensions. as a consequence we explain how universal quantum computation can be performed with any fixed two-body entangling n-qudit hamiltonian, and local unitaries","['universal simulation', 'hamiltonian dynamics', 'quantum systems', 'quantum dynamics', 'composite quantum system', 'two-body hamiltonian evolution', 'fixed two-body entangling n-qubit hamiltonian', 'local unitaries', 'universal quantum computation', 'fixed two-body entangling n-qudit hamiltonian', 'finite- dimensional state spaces', 'd-dimensional component systems']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M']","['universal simulation', 'hamiltonian dynamic', 'quantum system', 'quantum dynamic', 'composite quantum system', 'two - body hamiltonian evolution', 'fix two - body entangle n - qubit hamiltonian', 'local unitarie', 'universal quantum computation', 'fix two - body entangle n - qudit hamiltonian', 'finite- dimensional state space', 'd - dimensional component system']","['simulate arbitrary quantum dynamic', 'universal quantum computation', 'qubit hamiltonian', 'composite quantum system', 'qudit hamiltonian', 'body hamiltonian evolution', 'body entangle', 'component system', 'qudit', 'simulate', 'interaction', 'local unitarie', 'phy', 'have', 'dodd', 'case', 'provide', 'desire', 'efficient algorithm', 'partial']","[{'simulate arbitrary quantum dynamics': 1.0584, 'universal quantum computation': 0.6466, 'qubit hamiltonian': 0.5993999999999999, 'composite quantum system': 0.5711, 'qudit hamiltonian': 0.5578000000000001, 'body hamiltonian evolution': 0.4815, 'body entangling': 0.3671, 'component systems': 0.2826, 'qudits': 0.2786, 'simulate': 0.2541, 'interactions': 0.2109, 'local unitaries': 0.1729, 'phys': 0.1324, 'have': 0.0826, 'dodd': 0.0794, 'case': 0.0783, 'provided': 0.0742, 'desired': 0.051, 'efficient algorithm': 0.0464, 'partial': 0.034, 'form': 0.0316}]"
6,1035,H/sub 2/ optimization of the three-element type dynamic vibration absorbers,"the dynamic vibration absorber (dva) is a passive vibration control device which is attached to a vibrating body (called a primary system) subjected to exciting force or motion. in this paper, we will discuss an optimization problem of the three-element type dva on the basis of the h/sub 2/ optimization criterion. the objective of the h/sub 2/ optimization is to reduce the total vibration energy of the system for overall frequencies; the total area under the power spectrum response curve is minimized in this criterion. if the system is subjected to random excitation instead of sinusoidal excitation, then the h/sub 2/ optimization is probably more desirable than the popular h/sub infinity / optimization. in the past decade there has been increasing interest in the three-element type dva. however, most previous studies on this type of dva were based on the h/sub infinity / optimization design, and no one has been able to find the algebraic solution as of yet. we found a closed-form exact solution for a special case where the primary system has no damping. furthermore, the general case solution including the damped primary system is presented in the form of a numerical solution. the optimum parameters obtained here are compared to those of the conventional voigt type dva. they are also compared to other optimum parameters based on the h/sub infinity / criterion","['h/sub 2/ optimization', 'three-element type dynamic vibration absorbers', 'passive vibration control', 'power spectrum response', 'voigt type dynamic vibration absorber']","['P', 'P', 'P', 'P', 'R']","['h / sub 2/ optimization', 'three - element type dynamic vibration absorber', 'passive vibration control', 'power spectrum response', 'voigt type dynamic vibration absorber']","['dynamic vibration absorber', 'total vibration energy', 'passive vibration control', 'optimization design', 'optimum parameter obtain', 'optimization criterion', 'vibrate body', 'optimum parameter', 'damp', 'optimization problem', 'optimization', 'element type dva', 'power spectrum', 'type dva', 'frequency', 'dva', 'damped', 'sinusoidal excitation', 'numerical', 'minimize']","[{'dynamic vibration absorber': 0.8345, 'total vibration energy': 0.5664, 'passive vibration control': 0.5365, 'optimization design': 0.44820000000000004, 'optimum parameters obtained': 0.44460000000000005, 'optimization criterion': 0.4207, 'vibrating body': 0.4095, 'optimum parameters': 0.40380000000000005, 'damping': 0.3393, 'optimization problem': 0.3179, 'optimization': 0.3104, 'element type dva': 0.29710000000000003, 'power spectrum': 0.2311, 'type dva': 0.2239, 'frequencies': 0.2167, 'dva': 0.2127, 'damped': 0.1932, 'sinusoidal excitation': 0.1802, 'numerical': 0.1775, 'minimized': 0.1707, 'criterion': 0.1103, 'desirable': 0.1061, 'excitation': 0.0945, 'sub infinity': 0.08879999999999999, 'system': 0.075, 'special case': 0.0673, 'subjected': 0.0637, 'force': 0.0477, 'motion': 0.047, 'sub': 0.0435, 'attached': 0.037, 'one': 0.0288, 'able': 0.0281, 'total area': 0.0271, 'type': 0.0112, 'form': 0.0093, 'called': 0.0036, 'case': 0.0022}]"
7,1128,The semi-algebraic theory of stochastic games,"the asymptotic behavior of the min-max value of a finite-state zero-sum discounted stochastic game, as the discount rate approaches 0, has been studied in the past using the theory of real-closed fields. we use the theory of semi-algebraic sets and mappings to prove some asymptotic properties of the min-max value, which hold uniformly for all stochastic games in which the number of states and players' actions are predetermined to some fixed values. as a corollary, we prove a uniform polynomial convergence rate of the value of the n-stage game to the value of the nondiscount game, over a bounded set of payoffs","['asymptotic behavior', 'min-max value', 'finite-state zero-sum discounted stochastic game', 'discount rate', 'uniform polynomial convergence rate', 'n-stage game', 'semi-algebraic set theory', 'two-player zero-sum finite-state stochastic games']","['P', 'P', 'P', 'P', 'P', 'P', 'R', 'M']","['asymptotic behavior', 'min - max value', 'finite - state zero - sum discount stochastic game', 'discount rate', 'uniform polynomial convergence rate', 'n - stage game', 'semi - algebraic set theory', 'two - player zero - sum finite - state stochastic game']","['sum discount stochastic game', 'discount rate approach', 'stochastic game', 'uniform polynomial convergence rate', 'nondiscount game', 'algebraic set', 'asymptotic property', 'max value', 'asymptotic behavior', 'close field', 'bound set', 'stage game', 'finite', 'fix value', 'action', 'predetermine', 'corollary', 'value', 'player', 'theory']","[{'sum discounted stochastic game': 0.875, 'discount rate approaches': 0.6071, 'stochastic games': 0.5676, 'uniform polynomial convergence rate': 0.5111, 'nondiscount game': 0.43679999999999997, 'algebraic sets': 0.4194, 'asymptotic properties': 0.3539, 'max value': 0.3206, 'asymptotic behavior': 0.3144, 'closed fields': 0.293, 'bounded set': 0.2885, 'stage game': 0.2843, 'finite': 0.2207, 'fixed values': 0.2111, 'actions': 0.1508, 'predetermined': 0.145, 'corollary': 0.145, 'value': 0.1437, 'players': 0.1333, 'theory': 0.1242, 'states': 0.1056, 'state': 0.1017, 'mappings': 0.084, 'hold': 0.0726, 'number': 0.0235, 'past': 0.0111, 'studied': 0.0107}]"
8,538,Polarization of the RF field in a human head at high field: a study with a quadrature surface coil at 7.0 T,"the rf field intensity distribution in the human brain becomes inhomogeneous due to wave behavior at high field. this is further complicated by the spatial distribution of rf field polarization that must be considered to predict image intensity distribution. an additional layer of complexity is involved when a quadrature coil is used for transmission and reception. to study such complicated rf field behavior, a computer modeling method was employed to investigate the rf field of a quadrature surface coil at 300 mhz. theoretical and experimental results for a phantom and the human head at 7.0 t are presented. the results are theoretically important and practically useful for high-field quadrature coil design and application","['quadrature surface coil', '7.0 t', 'rf field intensity distribution', 'human brain', 'spatial distribution', 'rf field polarization', 'image intensity distribution', 'computer modeling', '300 mhz', 'high field mri', 'high-field coil design', 'whole-body mri', 'phantom samples', 'segmented images', '3d multitissue head model', 'gradient echo images', 'finite difference time domain method', 'maxwell wave equations', 'reception fields', 'transmission fields']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'R', 'U', 'M', 'M', 'M', 'M', 'M', 'M', 'R', 'R']","['quadrature surface coil', '7.0 t', 'rf field intensity distribution', 'human brain', 'spatial distribution', 'rf field polarization', 'image intensity distribution', 'computer modeling', '300 mhz', 'high field mri', 'high - field coil design', 'whole - body mri', 'phantom sample', 'segment image', '3d multitissue head model', 'gradient echo image', 'finite difference time domain method', 'maxwell wave equation', 'reception field', 'transmission field']","['rf field intensity distribution', 'field quadrature coil design', 'rf field polarization', 'quadrature surface coil', 'complicate rf field', 'quadrature coil', 'rf field', 'image intensity distribution', 'mhz', 'high field', 'human brain', 'reception', 'spatial distribution', 'human head', 'computer modeling method', 'phantom', 'transmission', 'wave', 'additional layer', 'high']","[{'rf field intensity distribution': 0.9542, 'field quadrature coil design': 0.9357000000000001, 'rf field polarization': 0.8115, 'quadrature surface coil': 0.7574000000000001, 'complicated rf field': 0.6729, 'quadrature coil': 0.6244000000000001, 'rf field': 0.6212, 'image intensity distribution': 0.4317, 'mhz': 0.3409, 'high field': 0.30569999999999997, 'human brain': 0.3006, 'reception': 0.2627, 'spatial distribution': 0.2541, 'human head': 0.23249999999999998, 'computer modeling method': 0.2163, 'phantom': 0.2041, 'transmission': 0.1021, 'wave': 0.0992, 'additional layer': 0.0836, 'high': 0.068, 'complicated': 0.0517, 'theoretical': 0.0402, 'presented': 0.0321, 'experimental': 0.0134}]"
9,681,Construction of information retrieval thesaurus for family planning terms using CDS/ISIS,"the thesaurus as a tool for information retrieval and as an alternative to the existing scheme of classifications in information retrieval is discussed. the paper considers the emergence of the information retrieval thesaurus and its definition. family planning is a multidisciplinary subject covering socio economic, cultural, psychological and medical fields. this necessitated the construction of a thesaurus for the family planning discipline. the construction is based on unisist, iso 2788 and bs 5723 guidelines by using cds/isis software","['information retrieval', 'thesaurus', 'family planning terms', 'family planning', 'classification', 'culture', 'psychology', 'unisist', 'iso 2788', 'bs 5723', 'cds/isis software', 'bibliographic databases', 'socio economic field', 'medicine']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'U', 'R', 'U']","['information retrieval', 'thesaurus', 'family planning term', 'family planning', 'classification', 'culture', 'psychology', 'unisist', 'iso 2788', 'bs 5723', 'cd / isis software', 'bibliographic database', 'socio economic field', 'medicine']","['information retrieval thesaurus', 'multidisciplinary subject cover socio economic', 'family planning discipline', 'thesaurus', 'information retrieval', 'family planning', 'use cd', 'classification', 'medical field', 'paper consider', 'guideline', 'cultural', 'emergence', 'exist scheme', 'discuss', 'necessitate', 'psychological', 'definition', 'construction', 'tool']","[{'information retrieval thesaurus': 1.2833999999999999, 'multidisciplinary subject covering socio economic': 0.8871, 'family planning discipline': 0.6778, 'thesaurus': 0.6437, 'information retrieval': 0.6396999999999999, 'family planning': 0.49039999999999995, 'using cds': 0.3519, 'classifications': 0.3377, 'medical fields': 0.29400000000000004, 'paper considers': 0.2566, 'guidelines': 0.233, 'cultural': 0.2018, 'emergence': 0.1959, 'existing scheme': 0.1784, 'discussed': 0.17, 'necessitated': 0.1636, 'psychological': 0.1521, 'definition': 0.1444, 'construction': 0.1396, 'tool': 0.1355, 'based': 0.1348, 'iso': 0.1222, 'unisist': 0.1085, 'alternative': 0.1014, 'bs': 0.03}]"
